ID	County	City	Type
814481	71	24680	HV
814499	71	24680	ML
814500	71	24680	HV
814506	71	24680	ML
814507	71	24680	HV
814514	71	24680	ML
814515	71	24680	HV
814526	71	24680	ML
814527	71	24680	HV
814533	71	24680	ML
814534	71	24680	HV
814548	71	ML
814549	71	HV
814552	71	60466	ML
814553	71	60466	HV
814566	71	ML
814567	71	HV
814860	71	13214	HV
814862	71	13214	HV
815317	65	ML
815332	65	ML
815347	65	ML
816004	65	62000	HV
816009	65	62000	ML
816010	65	62000	HV
816021	65	62000	HV
816033	65	62000	ML
816034	65	62000	HV
816047	65	62000	ML
816048	65	62000	HV
816061	65	62000	ML
816062	65	62000	HV
816077	65	62000	ML
816084	65	62000	ML
816090	65	HV
816106	65	ML
816107	65	HV
816113	65	ML
816114	65	HV
816134	65	HV
816150	65	ML
816155	65	ML
816193	71	59451	HV
816194	71	59451	ML
816210	71	59451	HV
816211	71	59451	ML
816218	71	24680	HV
816219	71	24680	ML
816241	71	ML
816253	71	ML
816255	71	ML
816268	71	ML
816269	71	ML
816285	71	ML
816286	71	ML
816299	71	ML
816301	71	ML
816313	71	14890	ML
816328	71	ML
816364	71	59962	ML
816382	71	59962	ML
816383	71	59962	ML
816400	71	42370	ML
816401	71	42370	ML
816418	71	42370	ML
816419	71	65000	ML
816432	71	65000	ML
816446	71	14890	ML
816450	71	14890	ML
816464	71	65000	ML
816480	71	42370	ML
816481	71	42370	ML
816494	71	42370	ML
816495	71	42370	ML
816509	71	59962	ML
816510	71	59962	ML
816966	71	14890	ML
816967	71	14890	ML
817198	71	53896	ML
817213	71	53896	ML
817402	65	ML
817403	65	ML
817544	65	16350	ML
817545	65	16350	HV
817546	65	16350	ML
817547	65	16350	HV
817553	65	62000	ML
817586	71	HV
817788	65	ML
817789	65	ML
817790	65	ML
817791	65	ML
818157	71	53896	ML
818158	71	53896	ML
818159	71	ML
818160	71	ML
818161	71	ML
818162	71	ML
818163	71	24680	ML
818165	71	24680	ML
818176	71	59962	ML
818177	71	59962	ML
818178	71	59962	ML
818179	71	59962	ML
818190	71	24680	ML
818191	71	24680	ML
818194	71	93850	ML
818195	71	93850	ML
818196	71	93850	ML
818199	71	59962	ML
818200	71	59962	ML
818201	71	59962	ML
818202	71	59962	ML
818203	71	59962	ML
818204	71	59962	ML
818205	71	59962	ML
818206	71	ML
818207	71	93850	ML
818210	65	56700	ML
818211	65	56700	ML
818216	65	56700	ML
818218	65	56700	ML
818219	65	56700	ML
818220	65	ML
818221	65	ML
818223	65	ML
818224	65	ML
818225	65	ML
818238	71	65000	ML
818239	71	65000	ML
818240	71	65000	ML
818241	71	65000	ML
818549	71	ML
818550	71	ML
818553	71	ML
818554	71	ML
818573	71	93850	ML
818574	71	93850	ML
818575	71	93850	ML
818576	71	ML
818577	71	93850	ML
818578	71	93850	ML
818579	71	ML
818580	71	ML
818581	71	59962	ML
818582	71	59962	ML
818583	71	59962	ML
818584	71	59962	ML
818585	71	ML
818586	71	ML
818593	65	56700	ML
818594	65	56700	ML
818601	65	56700	ML
818602	65	56700	ML
818606	65	ML
818607	65	ML
818608	71	65000	ML
818609	71	65000	ML
818610	71	65000	ML
818611	71	65000	ML
818614	71	65000	ML
818615	71	65000	ML
818616	71	65000	ML
818617	71	65000	ML
818618	71	65000	ML
818619	71	65000	ML
818620	71	65000	ML
818721	71	ML
818722	71	HV
818723	71	60466	ML
818724	71	60466	HV
818928	71	2462	HV
818929	71	2462	ML
819038	71	59962	ML
819045	71	59962	ML
819046	71	59962	ML
819047	71	59962	ML
819048	65	9864	ML
819049	65	9864	ML
819050	71	93850	ML
819051	71	93850	ML
819052	65	9864	ML
819053	65	9864	ML
819054	65	9864	ML
819055	65	9864	ML
819056	65	9864	ML
819057	65	9864	ML
819058	65	9864	ML
819059	65	9864	ML
819060	65	ML
819061	65	ML
819062	65	9864	ML
819063	65	9864	ML
819081	65	ML
819086	65	ML
819114	65	62000	ML
819119	71	14890	ML
819129	71	ML
819131	71	HV
819141	71	60466	HV
819142	71	60466	ML
819153	65	ML
819179	65	ML
819180	65	ML
819181	65	4758	ML
819182	65	9864	ML
819183	65	9864	ML
819184	65	9864	ML
819185	65	9864	ML
819186	65	9864	ML
819187	65	9864	ML
819190	65	56700	ML
819191	65	56700	ML
819206	65	ML
819207	65	ML
819448	71	24680	ML
819449	71	24680	HV
819454	71	ML
819455	71	HV
819460	71	24680	ML
819461	71	24680	HV
819472	71	24680	ML
819473	71	24680	HV
819478	71	24680	ML
819479	71	24680	HV
819484	71	24680	ML
819485	71	24680	HV
819491	71	24680	ML
819492	71	24680	HV
819498	71	60466	ML
819499	71	60466	HV
819504	71	66070	ML
819505	71	66070	HV
819514	71	81344	ML
819515	71	81344	HV
819520	71	81344	ML
819521	71	81344	HV
819526	71	81344	ML
819527	71	81344	HV
819532	71	81344	ML
819533	71	81344	HV
819538	71	81344	ML
819539	71	81344	HV
819545	71	81344	ML
819546	71	81344	HV
819552	71	81344	ML
819553	71	81344	HV
819575	71	81344	ML
819576	71	81344	HV
819599	71	13756	ML
819600	71	13756	HV
819605	71	13756	ML
819606	71	13756	HV
819613	71	13756	ML
819614	71	13756	HV
819634	65	ML
819654	71	81344	ML
819659	71	81344	HV
819684	71	24680	ML
819685	71	ML
819695	71	2462	ML
819702	71	ML
819703	71	ML
819709	71	13756	ML
819710	71	ML
819716	71	ML
819717	71	56000	ML
819723	71	ML
819728	71	44000	ML
819751	71	65000	HV
819756	71	65000	HV
819765	71	65000	HV
819767	71	65000	HV
819769	71	65000	HV
819779	65	62000	HV
819780	65	62000	ML
819852	65	16350	ML
819857	65	16350	ML
819878	65	51560	ML
819893	65	ML
819894	65	HV
819930	65	49270	HV
819941	65	49270	ML
819943	65	49270	HV
819945	65	62000	HV
819956	65	HV
819957	65	ML
819963	65	HV
819964	65	ML
819973	71	53896	ML
819975	71	53896	HV
820000	71	53896	HV
820001	71	53896	ML
820070	71	53896	HV
820071	71	53896	ML
820088	71	53896	HV
820092	71	13210	HV
820097	71	53896	HV
820101	71	53896	HV
820105	65	HV
820110	71	53896	HV
820114	71	53896	HV
820118	71	53896	HV
820122	71	13210	HV
820127	71	13210	HV
820130	71	13210	HV
820148	71	13210	HV
820152	71	13210	HV
